headline,description,date
US Navy thwarts seizure of Is­rael-linked car­go ship,The de­stroy­er USS Ma­son re­spond­ed to a dis­tress call from an Is­rael-linked com­mer­cial tanker in the Gulf of Aden.,27-11-2023
"Bar­be­ques, sus­pi­cion and song as Is­raeli sol­diers break from Gaza war","Re­servists come back to south­ern Is­rael, wel­comed by fam­i­lies, feasts and dis­tant ex­plo­sions.",27-11-2023
Pho­tos: Pales­tini­ans gath­er in Ra­mal­lah streets to wel­come freed pris­on­ers,The ex­change of cap­tives for pris­on­ers be­tween Hamas and Is­rael con­tin­ued for a third day on Sun­day.,27-11-2023
‘Dev­as­tat­ing’: Vol­un­teer re­calls last hours at be­sieged In­done­sian Hos­pi­tal,Med­ical work­er Fikri Rofi­ul Haq says lsraeli tanks re­peat­ed­ly fired on hos­pi­tal in north­ern Gaza.,27-11-2023
"Is­rael-Hamas war up­dates: 33 Pales­tini­ans, 11 Is­raelis re­leased","These were the up­dates on the Is­rael-Hamas war for Mon­day, No­vem­ber 27.",27-11-2023
What can be done to ex­tend Gaza’s frag­ile truce?,Calls grow loud­er to ex­tend a frag­ile pause in fight­ing and al­low more aid into Gaza.,26-11-2023
More Pales­tin­ian pris­on­ers freed as Is­rael-Hamas truce holds into third day,The ex­change of cap­tives be­tween Hamas and Is­rael con­tin­ues for a third con­sec­u­tive day un­der a four-day truce deal.,26-11-2023
"Three Pales­tin­ian stu­dents shot in Ver­mont, US amid Is­rael-Hamas truce","While the mo­tive be­hind the at­tack is un­known, it came amid ris­ing anti-Pales­tine sen­ti­ments in the US.",26-11-2023
It is time the US con­sid­ers Hamas’s sur­vival in Gaza,Sev­en weeks of war and a truce have demon­strat­ed Is­rael is nowhere near its de­clared goal of elim­i­nat­ing Hamas.,26-11-2023
Pho­tos: Tears and joy as sec­ond batch of 39 Pales­tin­ian pris­on­ers freed,Pales­tin­ian pris­on­ers were freed late on Sat­ur­day af­ter 13 Is­raelis were re­leased from Gaza as part of truce agree­ment.,26-11-2023
Pho­tos: Wound­ed pa­tients left at al-Shi­fa Hos­pi­tal face dire con­di­tions,Many of the in­jured who were not mo­bile re­mained in the hos­pi­tal af­ter its evac­u­a­tion on No­vem­ber 18.,26-11-2023
More cap­tives re­leased af­ter Hamas said Is­rael not up­hold­ing truce deal,There were con­cerns that the Is­rael-Hamas truce was at risk of de­rail­ing on day two.,26-11-2023
Biden seeks to lift re­stric­tions on Is­raeli ac­cess to US weapons,"If White House re­quest grant­ed, it would en­able Is­rael to ac­cess US weapons with less con­gres­sion­al over­sight.",26-11-2023
Is­raa Jaabis re­turns home af­ter re­lease from Is­raeli prison,Watch the mo­ment Pales­tin­ian woman Is­raa Jaabis re­turns home and em­braces her son af­ter eight years im­pris­oned in Is­rael,26-11-2023
Dire con­di­tions at al-Shi­fa Hos­pi­tal re­vealed dur­ing Gaza pause,"New video from Gaza’s al-Shi­fa Hos­pi­tal has emerged, made pos­si­ble by the pause in Is­rael’s at­tack.",26-11-2023
"‘One minute to say good­bye’ to a dad, son, hus­band: Hus­sein Abu Jamei",Hus­sein was just 32 when he was killed by an Is­raeli air raid on Khan You­nis. His body was found by his own broth­er.,26-11-2023
Is­raeli forces kill eight Pales­tini­ans in oc­cu­pied West Bank raids,"Five Pales­tini­ans were shot dead in Jenin, while three oth­ers were killed else­where in the oc­cu­pied West Bank on Sun­day.",26-11-2023
Is­raeli set­tlers steal Pales­tin­ian farm­ers’ land in oc­cu­pied West Bank,"Em­bold­ened by cur­fews and raids on Pales­tini­ans, il­le­gal set­tlers have stepped up vi­o­lence and prop­er­ty theft.",26-11-2023
Pho­tos: Lebanese res­i­dents of bor­der towns re­turn home amid truce in Gaza,"About 55,500 Lebanese have been dis­placed by clash­es be­tween Hezbol­lah and Is­raeli forces since Oc­to­ber 7.",26-11-2023
Is­rael-Hamas war up­dates: Joy on Ra­mal­lah’s streets as pris­on­ers freed,Third batch of 39 Pales­tini­ans freed by Is­rael af­ter Hamas re­leas­es 13 Is­raelis and four for­eign­ers un­der truce deal.,25-11-2023
"Hamas re­leas­es 13 Is­raeli, four Thai cap­tives af­ter hours-long de­lay","Is­rael re­leased 39 Pales­tin­ian pris­on­ers, six women and 33 chil­dren, from its jails un­der the Qatar-me­di­at­ed truce.",25-11-2023
Fam­i­lies re­unit­ed with their chil­dren held by Hamas and Is­rael,"As some fam­i­lies are now able to hold their loved ones close, thou­sands more in Gaza will nev­er get a re­union.",25-11-2023
Is a two-state so­lu­tion for Is­rael and Pales­tine still pos­si­ble?,In­ter­na­tion­al calls grow loud­er to pur­sue a two-state so­lu­tion to the Is­rael-Pales­tine con­flict.,25-11-2023
Lon­don pro-Pales­tin­ian pro­tes­tors de­mand per­ma­nent Is­rael-Gaza cease­fire,"Cur­rent pause brings lit­tle respite af­ter 15,000 Pales­tini­ans killed in Is­raeli at­tacks dur­ing sev­en weeks of war.",25-11-2023
Tens of thou­sands ral­ly in Tel Aviv amid de­lay in re­lease of Hamas cap­tives,Demon­stra­tion at what has be­come known as ‘Hostages Square’ marked 50 days since Hamas at­tack on Is­rael.,25-11-2023
UN peace­keep­ers in Lebanon say pa­trol hit by Is­raeli fire,"Unit­ed Na­tions In­ter­im Force in Lebanon con­demns at­tack as ‘deeply trou­bling’, no troops were in­jured.",25-11-2023
Pales­tini­ans stock up on es­sen­tials amid surge in Gaza food prices,"Oc­to­ber saw ‘un­prece­dent­ed’ spike in cost of wa­ter, wheat flour as Pales­tini­ans flock to mar­kets on sec­ond day of truce.",25-11-2023
"Gaza’s In­done­sian Hos­pi­tal in ru­ins af­ter Is­raeli raid, days-long siege","Nurs­es re­call hor­ror of Is­raeli raid and in­ter­ro­ga­tions, say­ing they were beat­en and hu­mil­i­at­ed.",25-11-2023
"As geno­cide rages, doc­tors must choose: Care or col­lab­o­ra­tionism",Amer­i­can doc­tors should be do­ing all we can to pro­tect health­care work­ers in Gaza. Why aren’t we?,25-11-2023
Re­leased Pales­tini­ans re­count harsh con­di­tions in Is­raeli pris­ons,"As Pales­tin­ian women and chil­dren re­turn home from Is­raeli pris­ons, many say they en­dured in­cred­i­bly harsh con­di­tions.",25-11-2023
Finnish FM: Fin­land’s de­fence deal with Is­rael vs its stance on Gaza,"For­eign Min­is­ter Eli­na Val­to­nen on Fin­land’s NATO ac­ces­sion, Russ­ian threats, and Is­raeli deal vs Gaza stance.",25-11-2023
Analy­sis: Lessons from Day One of truce in Gaza,"Every­one stopped shoot­ing, but can emo­tion­al re­unions bring new un­der­stand­ing be­tween war­ring sides?",25-11-2023
"Is­rael-Hamas war: List of key events, day 50",The truce holds with more cap­tive and pris­on­er swaps ex­pect­ed as Gaza re­ceives lim­it­ed but much-need­ed hu­man­i­tar­i­an aid.,25-11-2023
‘Noth­ing stand­ing’: Pales­tini­ans re­turn to find Gaza homes de­stroyed,"Amid the truce, some Pales­tini­ans re­turned to their hous­es in north and cen­tral Gaza – only to find rub­ble and de­bris.",25-11-2023
De­mands for per­ma­nent Gaza cease­fire at UK vig­il for killed med­ical work­ers,Health­care work­ers in Lon­don are de­mand­ing a per­ma­nent cease­fire in Gaza.,25-11-2023
Pho­tos: Aid brings re­lief in Gaza amid Is­rael-Hamas truce,"Trucks de­liv­er fuel, cook­ing gas, food and med­i­cine in the largest aid con­voy to Gaza since the war be­gan.",25-11-2023
Is­rael vs Hamas: Bat­tle for nar­ra­tive su­prema­cy,"A pro­pa­gan­da bat­tle over the war on Gaza. Plus, UN rap­por­teur Francesca Al­banese on me­dia mis­steps in this con­flict.",25-11-2023
Is­raeli-owned ship tar­get­ed in sus­pect­ed drone at­tack: Re­ports,"The ves­sel re­port­ed­ly had its track­er turned off, a sign that crew mem­bers like­ly ex­pect­ed a threat in the re­gion.",25-11-2023
"‘Bul­let­proof’: The brief, beau­ti­ful life of Danielle Wald­man","Danielle was just 24 when she and her part­ner, Noam Shay, were bru­tal­ly killed by Hamas at Su­per­no­va fes­ti­val.",25-11-2023
US Pres­i­dent Biden says ‘chances are real’ for ex­tend­ing Is­rael-Gaza truce,Cap­tives are ex­pect­ed to be re­leased each day un­til Mon­day dur­ing pause in fight­ing.,25-11-2023
‘A place to fly’ – Jenin Free­dom The­atre stands de­fi­ant amid Is­raeli raids,"Found­ed by an Is­raeli peace ac­tivist, the West Bank the­atre of­fers trau­ma­tised chil­dren a space to heal from con­flict.",25-11-2023
"Gaza truce holds into sec­ond day, more cap­tives to be re­leased","Pales­tini­ans are tem­porar­i­ly safe from bom­bard­ment, but Gaza saw an ‘in­ten­si­fi­ca­tion’ of Is­raeli strikes ahead of truce.",25-11-2023
Fam­i­ly cel­e­brates re­turn of freed Pales­tin­ian pris­on­er Marah Ba­keer,Ba­keer is one of 39 Pales­tin­ian pris­on­ers re­leased by Is­rael in ex­change for 13 Hamas cap­tives un­der Qatar-me­di­at­ed deal,25-11-2023
"WHO con­cerned about al-Shi­fa chief de­tained by Is­rael, re­main­ing pa­tients",Is­rael says hos­pi­tal di­rec­tor is be­ing ques­tioned; WHO voic­es fears over safe­ty of dozens who still in the fa­cil­i­ty.,25-11-2023
Can Is­rael’s econ­o­my with­stand a pro­longed war on Gaza?,Is­rael’s war on Gaza has de­plet­ed the Is­raeli work­force and forced busi­ness­es to close.,25-11-2023
"Hamas hands over 13 Is­raeli cap­tives, four for­eign­ers to Red Cross",Qatar con­firms re­lease of 13 Is­raeli hostages and four for­eign­ers; Is­rael now ex­pect­ed to free 39 Pales­tin­ian pris­on­ers.,25-11-2023
Hamas cap­tives and Pales­tin­ian women and chil­dren freed from Is­raeli jails,24 cap­tives held by Hamas and 39 Pales­tini­ans held in Is­raeli pris­ons have been re­leased.,24-11-2023
Pales­tini­ans re­leased from prison re­unite with loved ones,39 Pales­tini­ans were re­leased from Is­raeli pris­ons in ex­change for 13 Is­raeli cap­tives freed by Hamas.,24-11-2023
Nice foot­baller Atal de­tained for shar­ing al­leged anti-Se­mit­ic con­tent,"Al­ger­ian de­fend­er apol­o­gised for post­ing video, French au­thor­i­ties or­der him  to stand tri­al in De­cem­ber.",24-11-2023
Is­rael-Hamas four-day truce starts: How day one un­fold­ed,"In the first day, 24 cap­tives held in Gaza were re­leased, and 39 women and chil­dren were freed from Is­raeli jails.",24-11-2023
"Hamas frees 10 Thai cit­i­zens, one Fil­ipino un­der sep­a­rate deal: Qatar","Their re­lease was out­side of truce be­tween Is­rael and Hamas, in which 13 Is­raelis were freed for 39 Pales­tini­ans.",24-11-2023
Who are the Pales­tin­ian pris­on­ers Is­rael re­leased on Fri­day?,Thir­ty-nine Pales­tin­ian women and chil­dren were re­leased from Is­raeli jails on Fri­day dur­ing a pause in fight­ing.,24-11-2023
Hamas re­leas­es 24 hostages from Gaza on first day of Is­rael truce,Is­rael re­leas­es 39 Pales­tin­ian pris­on­ers in ex­change as part of deal that in­cludes a four-day truce in Gaza.,24-11-2023
Hamas re­leas­es 24 cap­tives amid Is­rael truce: Here’s what’s to know,"The 24 freed in­clude 13 Is­raelis, 10 Thai na­tion­als and one Fil­ipino, who were re­leased via the Egypt bor­der.",24-11-2023
Egypt’s el-Sisi says fu­ture Pales­tin­ian state could be ‘de­mil­i­tarised’,El-Sisi spoke af­ter a meet­ing with the Span­ish and Bel­gian PMs as they try to shore up sup­port for a peace con­fer­ence.,24-11-2023
"Amid Gaza war, ac­tivists in Ar­genti­na aim to ex­pel Is­raeli wa­ter com­pa­ny",Pro­test­ers have de­nounced state-owned Is­raeli com­pa­ny Meko­rot for its hu­man rights record as it ex­pands in Ar­genti­na.,24-11-2023
Pales­tini­ans re­turn to de­stroyed homes in Gaza as Is­rael-Hamas truce be­gins,"Men, women and chil­dren trav­elled from the places where they have sought refuge to in­spect their dam­aged homes.",24-11-2023
UN agen­cies hope truce will al­low aid into north­ern Gaza,"While wel­com­ing pause in hos­til­i­ties and en­try of sup­plies, UN health agency chief says ‘much more is need­ed’.",24-11-2023
This Is­rael has no fu­ture in the Mid­dle East,"The Gaza war may turn out to be the be­gin­ning of the end, but not for Pales­tine.",24-11-2023
‘We won’t leave’: Ar­me­ni­ans in Jerusalem push back against armed set­tlers,A con­tro­ver­sial real es­tate project threat­ens the world’s old­est Ar­men­ian di­as­po­ra com­mu­ni­ty. But they refuse to move.,24-11-2023
A sec­ond Nak­ba? What his­to­ry tells us about Pales­tine and Is­rael,"In this episode of Up­Front, we look back at the his­to­ry and con­text lead­ing up to the cur­rent Is­rael-Gaza war.",24-11-2023
Is­raeli forces open fire to stop peo­ple re­turn­ing to north Gaza,Video shows peo­ple flee­ing as Is­raeli forces opened fire to stop dis­placed Pales­tini­ans re­turn­ing to north­ern Gaza.,24-11-2023
‘The war is not over’: Is­rael blocks Pales­tini­ans’ re­turn to north­ern Gaza,"With hos­til­i­ties paused by the truce, dis­placed Pales­tini­ans are at­tempt­ing to re­turn to their homes across the en­clave.",24-11-2023
"Is­rael-Hamas war: List of key events, day 49",A truce is in mo­tion and pro-Pales­tine protests are mak­ing head­lines – here are ma­jor up­dates.,24-11-2023
Is­rael-Hamas truce comes into ef­fect: How it could now un­fold,"With the truce the first break in fight­ing af­ter sev­en weeks, sev­er­al sce­nar­ios in the war are now pos­si­ble.",24-11-2023
‘Re­lief’ in Gaza as truce takes ef­fect for first time,Aid be­gins to trick­le in to Gaza as the first pause be­gins af­ter sev­en weeks of hos­til­i­ties be­tween Is­rael and Hamas.,24-11-2023
Pales­tini­ans in south­ern Gaza re­turn home as truce be­gins,Video from south­ern Gaza shows dis­placed Pales­tini­ans mak­ing their way through the streets of Khan You­nis.,24-11-2023
"Pho­tos: Is­rael pounds Gaza ahead of truce, killing and in­jur­ing dozens","The air raids hit a UN school, the In­done­sian hos­pi­tal, and res­i­den­tial build­ings across Gaza.",24-11-2023
Pro-Pales­tine or a trend? Chi­na’s stance on Is­rael-Hamas war splits opin­ion,Chi­nese Pres­i­dent Xi Jin­ping has called for an end to the ‘col­lec­tive pun­ish­ment’ of Pales­tini­ans.,24-11-2023
Analy­sis: How to en­force the Is­rael-Hamas truce,The truce has come into ef­fect. Its ex­e­cu­tion will fall on two fight­ing forces that have been try­ing to kill the oth­er.,24-11-2023
Is­rael-Hamas war up­dates: First Pales­tini­ans re­leased from Is­raeli pris­ons,"These are the up­dates on the Is­rael-Hamas war for Fri­day, No­vem­ber 24.",24-11-2023
Hamas says 30 killed in Is­raeli at­tack on UN school ahead of Gaza truce,"Ahead of planned four-day pause in hos­til­i­ties, Is­rael says war to con­tin­ue for two months af­ter ‘brief respite’.",23-11-2023
What are the de­tails of the truce be­tween Is­rael and Hamas?,"Four-day pause is set to be­gin on Fri­day morn­ing and in­cludes the re­lease of Hamas cap­tives, Pales­tin­ian pris­on­ers.",23-11-2023
Pro-Pales­tine pro­test­ers pause Macy’s Thanks­giv­ing Day Pa­rade,Pro-Pales­tine demon­stra­tors glued their hands to the street in the mid­dle of the an­nu­al Macy’s Thanks­giv­ing Day Pa­rade.,23-11-2023
Span­ish PM pro­pos­es talks on the es­tab­lish­ment of a Pales­tin­ian state,"In meet­ing with Is­raeli Prime Min­is­ter Ben­jamin Ne­tanyahu, Spain’s Pe­dro Sanchez pro­pos­es in­ter­na­tion­al peace talks.",23-11-2023
"Un­cer­tain­ty, hope for Pales­tin­ian, Is­raeli fam­i­lies be­fore Gaza truce","Amid high ten­sions over cap­tives-for-pris­on­ers swap, far-right Is­raeli min­is­ter de­mands clam­p­down on cel­e­bra­tions.",23-11-2023
Me­di­a­tor Qatar an­nounces key points of Is­rael-Hamas truce,Is­rael and Hamas’ four-day truce is set to be­gin on Fri­day at 7am lo­cal time in Gaza.,23-11-2023
A roadmap for the fu­ture of Pales­tine,"At this crit­i­cal junc­ture, Pales­tine’s lead­ers should come to­geth­er to agree on a roadmap for our fu­ture.",23-11-2023
BBC ac­cused of cen­sor­ing acts of Gaza sol­i­dar­i­ty in BAF­TA awards cov­er­age,Cease­fire calls by artists dur­ing a cer­e­mo­ny in Scot­land did not make the fi­nal cut on the BBC’s stream­ing ser­vice.,23-11-2023
"Is­rael-Hamas truce, cap­tive re­lease to be­gin on Fri­day, Qatar says","Truce to be­gin in the morn­ing and 13 peo­ple held by Hamas to be freed in the af­ter­noon, Qatari of­fi­cial says.",23-11-2023
Pales­tini­ans with dis­abil­i­ties face im­mense hard­ship in Gaza,"“I feel alone.” About 50,000 Pales­tini­ans with dis­abil­i­ties are among the most vul­ner­a­ble peo­ple in Gaza.",23-11-2023
The Take: In­side the Hamas-Is­rael truce deal,The deal be­tween Is­rael and Hamas took weeks of ne­go­ti­a­tions in­volv­ing sev­er­al coun­tries and com­pet­ing in­ter­ests.,23-11-2023
"Mid­dle East Roundup: Ner­vous an­tic­i­pa­tion for truce, ex­change of cap­tives","As Pales­tini­ans wait with bat­ed breath for a pause in the Is­raeli bom­bard­ment, here’s the Mid­dle East this week.",23-11-2023
Is­rael-Hamas deal: What makes a truce lead to last­ing peace?,"With Is­rael and Hamas agree­ing to a four-day pause in fight­ing, here’s a look at how truces from oth­er wars played out.",23-11-2023
Iran’s top diplo­mat dis­cuss­es Is­rael’s war in Gaza with Hezbol­lah leader,Amirab­dol­lahi­an warns ‘the scope of the war will ex­pand’ if the Is­rael-Hamas truce does not hold.,23-11-2023
Celtic fined over fans’ sup­port for Pales­tine dur­ing Cham­pi­ons League match,UEFA has fined the Scot­tish club af­ter its fans waved Pales­tin­ian flags dur­ing the match against Atleti­co Madrid.,23-11-2023
Is­raeli at­tack kills girl’s par­ents as they wait­ed for Gaza’s truce,"A pho­tog­ra­ph­er tries to com­fort a Pales­tin­ian girl, who lost her par­ents, by talk­ing about her favourite dessert.",23-11-2023
How Pales­tini­ans are us­ing art as a form of re­sis­tance against Is­rael,"With Is­rael’s war on Gaza, many artists are us­ing their work to de­mand jus­tice, free­dom and an end to the blood­shed.",23-11-2023
Are the Amer­i­cans ready for an­oth­er Iraq?,Ne­tanyahu is tak­ing ad­van­tage of the war in Gaza to push the Unit­ed States into a di­rect con­fronta­tion with Iran.,23-11-2023
"Is­rael-Hamas war: List of key events, day 48",From re­ac­tions to the Is­rael-Hamas truce deal to an Is­raeli at­tack on south­ern Lebanon – here are ma­jor up­dates.,23-11-2023
US war­ship cruis­ing Red Sea shoots down at­tack drones fired from Yemen,US as­sets in the Mid­dle East have come un­der in­creas­ing threat since the war in Gaza broke out.,23-11-2023
Ex-Oba­ma ad­vis­er Stu­art Sel­dowitz ar­rest­ed af­ter Is­lam­o­pho­bic rant,The for­mer State De­part­ment of­fi­cial was filmed ha­rass­ing a Mus­lim street ven­dor in New York over the Is­rael-Gaza war.,23-11-2023
"Is­raeli army ar­rests al-Shi­fa Hos­pi­tal di­rec­tor, oth­er doc­tors in Gaza",Di­rec­tor Muham­mad Abu Salmiya and sev­er­al oth­er med­ical per­son­nel de­tained as Is­rael con­tin­ues its Gaza of­fen­sive.,23-11-2023
"As Is­rael pounds Gaza, BBC jour­nal­ists ac­cuse broad­cast­er of bias","In the lat­est news­room fall­out over the war, BBC jour­nal­ists say the cor­po­ra­tion is fail­ing to hu­man­ise Pales­tini­ans.",23-11-2023
Pho­tos: Is­rael steps up at­tacks on Gaza be­fore truce,Mass bom­bard­ment ‘keeps cre­at­ing tragedies and mis­ery for Pales­tini­ans’.,23-11-2023
"Is­rael says truce, cap­tives re­lease will not start ‘be­fore Fri­day’",Se­nior of­fi­cial says ne­go­ti­a­tions on how to han­dle the ex­change of cap­tives are con­tin­u­ing.,23-11-2023
‘Can re­gain our soul’: Re­lief and fear in Gaza ahead of Is­rael truce,"Some hope to find miss­ing loved ones, re­turn home and grieve for killed rel­a­tives. Oth­ers just want to get some sleep.",23-11-2023
‘Im­por­tant but not enough’: What does Is­rael-Hamas deal mean for US pol­i­cy?,Ad­vo­cates pledge to con­tin­ue to push for cease­fire as Biden wel­comes cap­tives deal that will see tem­po­rary pause to war.,23-11-2023
"Is­rael-Hamas war up­dates: Is­rael bombs UN school, killing ‘at least 27’",At­tack comes ahead of the ex­pect­ed be­gin­ning of a truce and re­lease of cap­tives and pris­on­ers on Fri­day.,23-11-2023
Dozens from same fam­i­ly killed in Gaza as Is­rael con­tin­ues bom­bard­ment,Is­rael con­tin­ues to bom­bard the be­sieged Gaza Strip hours af­ter a truce agree­ment was an­nounced.,22-11-2023
What does the Is­rael-Hamas deal mean for Gaza?,Is­rael and Hamas agree on deal for re­lease of civil­ian hostages in ex­change for Pales­tin­ian pris­on­ers and halt to war.,22-11-2023
Is­raeli strikes con­tin­ue on Gaza ahead of agreed truce,"As Pales­tini­ans await the start of an agreed four-day truce to be an­nounced, Is­rael con­tin­ues its bom­bard­ment on Gaza.",22-11-2023
"Choco­late cake, lov­ing par­ents await Pales­tin­ian teen Is­rael might free","In a home in the West Bank, Ubai’s fam­i­ly is pray­ing that the Is­rael-Hamas truce brings him back to them.",22-11-2023
"Hamas deal di­vides Is­rael politi­cians, seen as ‘great harm’, ‘painful’","Is­raeli PM clinched deal with sup­port of far-right coali­tion part­ners, who se­vere­ly crit­i­cised move.",22-11-2023
"Switzer­land moves to ban Hamas, backs Is­rael’s ‘right to self-de­fence’","Gov’t to in­tro­duce leg­is­la­tion by Feb­ru­ary against Pales­tin­ian group, sup­ports Is­rael’s right to ‘its own se­cu­ri­ty’.",22-11-2023
"Is­raeli fail­ures, US cha­rades and a ne­go­ti­at­ed truce",The tem­po­rary cease­fire sug­gests Is­rael and the US are nowhere near ‘wip­ing out’ Hamas.,22-11-2023
Why has In­dia’s Naren­dra Modi strength­ened ties with Is­rael?,"In the lat­est episode of Up­Front, we look at how re­la­tions be­tween the two coun­tries have evolved in re­cent decades.",22-11-2023
"Anx­ious, op­ti­mistic: Fam­i­lies of fe­male Pales­tin­ian pris­on­ers await re­lease","Ac­cord­ing to terms of a four-day truce be­tween Is­rael and Hamas, 150 Pales­tin­ian women and chil­dren will be re­leased.",22-11-2023
More than 100 peo­ple buried in mass grave in Khan You­nis,"More than 100 bod­ies of men, women and chil­dren have been buried in a mass grave in Gaza’s Khan You­nis.",22-11-2023
What hap­pened in Gaza be­fore the truce deal,Is­rael and Hamas have a truce deal af­ter 47 days of fight­ing. Here is a run­down of what hap­pened in Gaza since Oc­to­ber 7,22-11-2023
Ex-Oba­ma ad­vis­er Stu­art Sel­dowitz filmed abus­ing ha­lal cart ven­dor,A for­mer US State De­part­ment of­fi­cial who worked on Mid­dle East af­fairs has been filmed ha­rass­ing a Mus­lim street ven­dor,22-11-2023
Be­hind the scenes: How the Is­rael-Hamas truce deal came to­geth­er,"Here’s how the ne­go­ti­a­tions in­volv­ing Is­rael, Hamas, Qatar, the US and Egypt un­fold­ed.",22-11-2023
"Is­rael-Hamas deal: Which cap­tives, Pales­tin­ian pris­on­ers could be freed?",Hamas and Is­rael have both said that they will re­lease women and chil­dren.,22-11-2023
"Is­rael-Gaza: ‘We all have 13,000 deaths on our con­science’",Amnesty In­ter­na­tion­al’s sec­re­tary gen­er­al dis­cuss­es hu­man rights vi­o­la­tions and war crimes in the Is­rael-Gaza war.,22-11-2023
"Di­as­po­ra Pales­tini­ans in Greece fear for rel­a­tives in Gaza, long for peace",Pales­tini­ans in Greece wor­ry they are wit­ness­ing forced dis­place­ment at an un­prece­dent­ed rate.,22-11-2023
Analy­sis: A pause in fight­ing – what’s in it for Hamas?,"Hamas can ben­e­fit mil­i­tar­i­ly from the am­bigu­ous pause deal with Is­rael, but as an op­por­tu­ni­ty rather than a ne­ces­si­ty.",22-11-2023
Ex-Oba­ma ad­vis­er says more Pales­tin­ian kids should die in Is­lam­o­pho­bic rant,"‘If we killed 4,000 Pales­tin­ian kids, it wasn’t enough,’ says for­mer diplo­mat Stu­art Sel­dowitz in one video.",22-11-2023
"US Gen­er­al Pe­traeus: Is­rael’s war on Gaza to last for ‘months, not weeks’",For­mer CIA Di­rec­tor David Pe­traeus says Is­rael will re­sume the war on Gaza if it doesn’t want Hamas to re­build it­self.,22-11-2023
‘Ter­ror­ism’: Is­rael-Hamas con­flict has gone ‘be­yond war’ says Pope Fran­cis,"‘Both sides are suf­fer­ing,’ says the pope af­ter meet­ings with Is­raeli and Pales­tin­ian fam­i­lies.",22-11-2023
EU to boost Gaza aid amid Is­rael-Hamas truce,The bloc wel­comed the op­por­tu­ni­ty of the four-day win­dow; also says de­vel­op­ment aid is not be­ing stolen by Hamas.,22-11-2023
Pho­tos: No ease in hu­man suf­fer­ing in Gaza,Is­raeli air at­tacks pound the Gaza Strip from north to south.,22-11-2023
"Is­rael-Hamas war: List of key events, day 47",A truce has been agreed upon be­tween Is­rael and Hamas amid new at­tacks on jour­nal­ists – here are the ma­jor up­dates.,22-11-2023
Turk­ish FM: Why hasn’t Turkey com­plete­ly cut ties with Is­rael?,Hakan Fi­dan on the in­tri­ca­cies of not sev­er­ing ties with Is­rael amid war on Gaza.,22-11-2023
Fin­gers ‘on the trig­ger’ amid truce deal: Hamas and Is­rael,The war­ring sides and the me­di­a­tor is­sue state­ments about the agreed pause in hos­til­i­ties that start­ed on Oc­to­ber 7.,22-11-2023
Is­rael-Hamas truce deal: All that you need to know,"The two sides have agreed to a four-day pause in fight­ing, but Is­rael has made it clear that it is not end­ing the war.",22-11-2023
Pho­tos: Bury­ing the bod­ies of uniden­ti­fied vic­tims of Is­rael’s war on Gaza,Team at Al-Aqsa Mar­tyrs Hos­pi­tal do what they can to pro­vide last rites to those killed in Is­raeli at­tacks.,22-11-2023
World re­ac­tions to Is­rael-Hamas truce,Agree­ment will see some cap­tives re­leased from Gaza in ex­change for Pales­tin­ian pris­on­ers held in Is­raeli jails.,22-11-2023
"Is­rael, Hamas agree to truce, paving way for some cap­tives’ re­lease",Fifty women and chil­dren held in Gaza will be re­leased in ex­change for Pales­tin­ian women and chil­dren in Is­raeli jails.,22-11-2023
Is­rael-Hamas war up­dates: Pales­tini­ans buried in mass grave as truce nears,"Is­raeli bom­bard­ments con­tin­ue across Gaza ahead of ex­pect­ed four-day truce, in­clud­ing in Khan You­nis in the south.",22-11-2023
Mo­roc­can foot­baller Yas­sine Bounou lifts spir­its of child am­putee in Gaza,"Mo­roc­co’s goal­keep­er Yas­sine Bounou, calls 11-year-old Asif Abu Ma­ha­di, who lost his leg in an Is­raeli at­tack.",21-11-2023
US con­sid­ers re­des­ig­nat­ing Houthis as ‘ter­ror’ group af­ter ship seizure,White House had re­versed des­ig­na­tion against rebel group in 2021 to help get aid to war-torn Yemen.,21-11-2023
A look in­side Gaza’s In­done­sian hos­pi­tal sur­round­ed by in­tense fight­ing,North­ern Gaza’s last run­ning hos­pi­tal is be­ing tar­get­ed by Is­raeli forces.,21-11-2023
Pales­tini­ans in Is­rael also face a Nak­ba,And the sec­ond-class cit­i­zen­ship they have will not pro­tect them.,21-11-2023
Pho­tos: In­tense Is­raeli air strikes hit Gaza amid grow­ing signs of truce,Ja­balia in north­ern Gaza and Khan You­nis and Rafah in the south are among the ar­eas hit.,21-11-2023
BRICS con­demns Is­rael war on Gaza in sig­nal to the West,"The group­ing, which has pre­vi­ous­ly fo­cused on eco­nom­ic is­sues, called for an end to ‘war crimes’ in the Gaza con­flict.",21-11-2023
"South Africa law­mak­ers vote to sus­pend Is­rael ties, close em­bassy",The mo­tion call­ing for the clo­sure of the em­bassy passed with 248 votes in favour and 91 votes against.,21-11-2023
Is­raeli state TV video shows chil­dren singing about Gaza,“Elim­i­nate them all.” A video by Is­rael’s pub­lic broad­cast­er of chil­dren singing about Gaza has caused a back­lash on­line,21-11-2023
The Take: The geno­cide law­suit against Joe Biden over Is­rael-Gaza war,Pales­tin­ian Amer­i­cans have filed a law­suit against US lead­ers.,21-11-2023
